ASIN,Review Count
B0000AZJY6,452
B000EORV8Q,232
B000050ZRE,230
B0001FS9NE,230
B00EZPXYP4,98
B00CTTEKJW,74
B00F8K9MZQ,74
B008H3SW4I,73
B000X86ZAS,72
B00MYXTCGY,64
B015724OVG,64
B00EZQYC8G,63
B0013A5GGE,59
B005S4Y13K,59
B00UB76290,59
B000W3RSGE,58
B0017KEA6W,56
B00E6LJ2SA,54
B00NG7JVSQ,53
B00MHZ6Z64,52
B00MYXTCNC,51
B000WEJYM4,49
B002DHLUWK,49
B008RA5A00,49
B00E6ONJJU,49
B01617VQJ4,49
B00H9A60O4,48
B01F7RJHIQ,48
B00P6U8BA0,47
B0148BYIAO,47
B000Y7Y6IQ,46
B00L13X6QA,46
B0144NYGJY,46
B000WR2F2M,44
B01617VPUY,44
B0017W8BQU,43
B000XHE0Q0,42
B00BBJR0SO,42
B0014X2UAK,40
B0017I8NQM,39
B004Y8MKZM,39
B0013OAHTG,38
B00EDSI7QO,38
B00EOI2SR2,38
B00PG8FOSY,38
0763855553,36
B004IKEKWC,36
B00FFINOWS,36
B00LC9UU6C,36
B015724RQI,36
B0013O54OE,35
B003YJ5DKG,35
B007QYZ08A,35
B00E6LJBUO,35
B00MV9EL6M,35
B00U7LCE6A,35
B000VLZCEW,34
B0012KZKZC,34
B001AMHWP8,34
B009CCVMO0,34
B0014X5XEK,33
B0056CZC2S,33
B01617VVCQ,32
B00JC5Y4FQ,31
B00MYXTCIM,31
B01637RFR4,31
B000WCQCE4,30
B0013O54P8,30
B001TYYZCA,30
B00JC5Y6WM,30
B00JC5Y6YA,30
B000WMUHEU,29
B003VNCROU,29
B00597EEIS,29
B005GI19HY,29
B009HBCU9W,29
B0114ZV22E,29
B0144NYEY6,29
B003VNCRNQ,28
B004DTLWZ6,28
B00AM9YXTS,28
B00MV9ELBM,28
B000HCZ8EO,27
B004E9SKFA,27
B005FIWTHO,27
B00B1TGUMG,27
B00F8K9KZS,27
B010P91LYY,27
B001AFFZM2,26
B001C33V4G,26
B00EZPXVWU,26
B00EZPXOTA,26
B00F2BDP9K,26
B00F8K9L66,26
B00FYH8URE,26
B00IIL0S8W,26
B01CS8RSIS,26
B000FK88JK,25
B000V6YPAY,25
B001U3PYLQ,25
B004XO6V1G,25
B005S4Y65I,25
B008XAXAC4,25
B00NG7JYYM,25
B0018EI3H4,24
B00HV9IM58,24
B00IP93PV4,24
B00MHZ71G2,24
B00T0I6J4O,24
B01019T6O0,24
B01637RMYU,24
B000UJUJ7U,23
B001CUCZPK,23
B005AAWNBE,23
B005AAWYR2,23
B005FIWT74,23
B005HTIWJ0,23
B00BFNCFXG,23
B00E5UHRIO,23
B00E6ONJRM,23
B00FZ0E0HE,23
B00G0DXA9Y,23
B00M9GTL6M,23
B00MBYLU34,23
B00MUTIDKI,23
B01617VNBK,23
B00111DJQ4,22
B0013O98SW,22
B001CPJHGU,22
B001F5VBRU,22
B001VGZLQ0,22
B002DHGMK0,22
B002EAYJD8,22
B002LLK5CO,22
B003VIVY7G,22
B004PBG8EC,22
B004PIPG2A,22
B005HTIWIQ,22
B005S4Y8TM,22
B008414ZYY,22
B008S0IP38,22
B009SPL2K0,22
B00F9ZQQ8Q,22
B00G6CLN3Y,22
B00JZNHUFQ,22
B00LX4BYV6,22
B01488541O,22
B015OY6WKS,22
B0018EI3HY,21
B001EHXOFG,21
B001HOD50K,21
B002J9PNZM,21
B0043SK9QU,21
B005AAWOT0,21
B007IWCQ8W,21
B009066NOC,21
B009SPCTFW,21
B00BFNCFZ4,21
B00CBFRH08,21
B00E5UHRT8,21
B00E6LJAOG,21
B00FZ0FK0U,21
B00GDF83SM,21
B00HRQB28Y,21
B00IVFDZBC,21
B00JZNHU88,21
B00KQV8RNK,21
B00OMQLNJK,21
B000WQ10LK,20
B001AFD8XK,20
B001AFFYSW,20
B001CPCJNS,20
B001CU9IKU,20
B002I7LYBC,20
B002SR4S0Q,20
B003VIVYF8,20
B003VTYLI4,20
B005CY41BI,20
B009ENDZ4C,20
B00C56PM8M,20
B00F8K9N32,20
B00FB5R4L2,20
B00P04JVCO,20
B00PT6GQY4,20
B0123C60D8,20
1413313728,19
1600775411,19
B001AFD20E,19
B001AFFRM0,19
B001E0RZ3U,19
B002DHGM50,19
B002EAYJEM,19
B002PDPIF2,19
B004I1PWDW,19
B004YTG200,19
B005LXIJ7M,19
B00600YX70,19
B0066H890O,19
B008MR38ZM,19
B009066OXC,19
B009YYZJDQ,19
B00DT04I9W,19
B00EP7AP7C,19
B00EZKNYXG,19
B00IIL0SCS,19
B00LYYMXB0,19
B00NASFCDO,19
B0169RGE7U,19
B000JD3AIW,18
B001C31OZY,18
B001EJTO8A,18
B001EJQTUG,18
B002EAYJC4,18
B002I7PGT8,18
B002J9V9BO,18
B004QK8FBG,18
B0052VKP0W,18
B0052VKOYO,18
B0056CZATI,18
B005AAWXZ0,18
B005FIWT6U,18
B005S7ZLU4,18
B007UXEF6U,18
B008S0IE5M,18
B008U5EL5C,18
B00B1TGMIS,18
B00CNLGONQ,18
B00D3CKE2Q,18
B00EOR3IJK,18
B00EZKNYWC,18
B00GOUBT6E,18
B00K7JFFQ8,18
B00N4OLGL6,18
B00TKUEGCY,18
B010P91LXA,18
B0123C60EW,18
B0144BWWTW,18
B000TME1K4,17
B001AFCWBO,17
B001EJU9ZM,17
B001W2Y5Q0,17
B0026PEP5S,17
B002DHLV8S,17
B002PDPIJI,17
B003PDMNCC,17
B003WT1KHI,17
B0041DTNI2,17
B0044DE8KC,17
B0045OVQOQ,17
B0046ED0N0,17
B004M39SN6,17
B004Y46PAC,17
B005N2CS8M,17
B005S4Y3LU,17
B0066H87N8,17
B006WVR9GY,17
B0078YKR0O,17
B004Q0PT3I,17
B009348X7Q,17
B00EDSI8HW,17
B00F8K9L3Y,17
B00FFIO0NA,17
B00OMQLT6C,17
B00OW2PHDM,17
B00P31G9PQ,17
B011I737YE,17
B015XDQEHQ,17
B01AC3ZAHW,17
1413313701,16
B00005MOTE,16
B0001XLSG6,16
B000HCVR30,16
B000TMHZX4,16
B0028SIKFE,16
B002JB3CUS,16
B002X8V326,16
B0039Y58YC,16
B003JZN5QO,16
B003WVFAO0,16
B003YJ5ESM,16
B003ZRTDPS,16
B0094NY3R0,16
B00JHN1MJO,16
B00MILM2FA,16
B00N4OLGP2,16
B00OSE2638,16
B00OW2PJ5I,16
B00OW2PHF0,16
B010P91MAC,16
B011XO53WQ,16
B01326J80Q,16
B015610ZB6,16
B01AC3ZA7C,16
B0002ZALES,15
B000HCZ9AW,15
B000HCTYTE,15
B001C31P4Y,15
B002ABMVD6,15
B002ABOYXG,15
B002JB1TTO,15
B002JB3BC2,15
B002SRNS7A,15
B0039Y59F0,15
B003YJ78AE,15
B0041DVMZE,15
B005AAWP1W,15
B005CELLHK,15
B005IB6MM6,15
B005N2CSLY,15
B006VRWPYK,15
B008YTAGIK,15
B009716H00,15
B00DFU0ZFW,15
B00ENFVSIQ,15
B00EZKNY8G,15
B00FFINUJK,15
B00M76N6MO,15
B00MYXUBVE,15
B00O2KAI2Y,15
B0153OLT20,15
B015PIIGQ6,15
B01637RHBI,15
B01CCBESDE,15
B01FFVDY9M,15
0321719816,14
B00005MOTH,14
B000BQXTSS,14
B000NA780M,14
B0017NWWUA,14
B0028N71TU,14
B002CMWEY4,14
B003WVFA36,14
B004230D62,14
B0042XZ1I2,14
B00440D8OW,14
B0046ED0LW,14
B005N2CS00,14
B0068TJ7OC,14
B008S0IV9G,14
B009066EOG,14
B00E6OPDUS,14
B00EOI2TD0,14
B00EZJRS8E,14
B00F2BA8U4,14
B00GC1ZMYA,14
B00LYYN13O,14
B00LYYMX4W,14
B00LYYMXF6,14
B00OSDY8PI,14
B00ZSI7Y3U,14
B0123C60F6,14
B0123C648Y,14
B01326J5MC,14
B0148BYIPY,14
B0153V62P2,14
B015724V9Q,14
B01HAP3NUG,14
B00006OAQU,13
B000B5NS2G,13
B000HCTYTO,13
B000HCZ9BG,13
B000T9LUBU,13
B000TME1KE,13
B000W3T6S2,13
B001GL6QHS,13
B002J9PO2E,13
B0039L31JY,13
B003CIPI9A,13
B003VMCBEC,13
B004A7Y0UK,13
B005AAWXAU,13
B005LTV8G0,13
B009CCVMNQ,13
B00MUTAY1Y,13
B00OSCLQ1S,13
B00OVT6VKY,13
B00P6U8C5Y,13
B00RKZKFUI,13
B00U3H6626,13
B015NXVJY4,13
B015PIIF80,13
B000050HEI,12
B0000CEM5O,12
B00022PTI4,12
B0009X6QJM,12
B000GHIV2Q,12
B001D1Q7PM,12
B001V9VERW,12
B004RPUJ78,12
B004YHXXKO,12
B006ZF5W1Q,12
B008S0J03W,12
B008YTAKJA,12
B009716HMI,12
B009HBCZPQ,12
B00FZ0FETC,12
B00H8JLILG,12
B00L64Q6SE,12
B00LI95DNG,12
B00MYXTCMI,12
B011DMUIQY,12
B01326J62G,12
B01537HQE2,12
B01EB06R10,12
B01F4PYHX6,12
B01HAP47PQ,12
B00005MOTG,11
B0000AZJVC,11
B0002UCSKI,11
B000A6M8QI,11
B000IAMRXK,11
B000PC1IR2,11
B000T9LUB0,11
B000W3T6NM,11
B0014X4O7C,11
B0018EI3I8,11
B001AMPP0W,11
B001GL8USQ,11
B001LQO4P4,11
B001ONRN98,11
B001UO8M8M,11
B003HCA7GA,11
B003SEVL8U,11
B0043EV5E4,11
B005FIWTMY,11
B009716H7S,11
B00B1TEIRU,11
B00BKWXNDI,11
B00CG0CL1S,11
B00EFRMDW2,11
B00F3ZN2W0,11
B00GDF84IG,11
B00O66FYU0,11
B01019TDJ8,11
B011I737WG,11
B011I737YO,11
B01537HQS8,11
B01617VNYC,11
B01617VO2S,11
B017W85QUQ,11
B01EB06QUM,11
B00003JAU7,10
B00005LVWL,10
B000HCXKLC,10
B000U0I11A,10
B000VJTL1Y,10
B000WPWYJS,10
B000WPYZEA,10
B000WR2F3G,10
B0014KJ6EQ,10
B001EJVQDG,10
B002DHLVII,10
B002KIIKCU,10
B004Q0T0LU,10
B00576JM6A,10
B005AAWLYS,10
B00604ICGO,10
B00843U4I8,10
B009716GWE,10
B00CNLGOY0,10
B00ENFVLAQ,10
B00EP7AQBC,10
B00KQV8DJ8,10
B00MCLGAAO,10
B00ND0E7BW,10
B00NG7JQHW,10
B00T0I6J9E,10
B00UBKB40Y,10
B0144NY8OW,10
B0158RGNR8,10
B015SWVD3M,10
0321719824,9
0982697813,9
B0000E6NK9,9
B00068IBZW,9
B000B8K7SG,9
B000GI0HR2,9
B000HCXKJY,9
B00123WD40,9
B001D1TEIE,9
B001GL8UP4,9
B003YJ78JA,9
B004E9SKE6,9
B005S4XYX8,9
B00AOHDC6I,9
B00BR082FW,9
B00CNLGPMQ,9
B00E6LIECA,9
B00EFRMBA6,9
B00J04F9LW,9
B00JHN1MPI,9
B00JPKJLWO,9
B00M9GTEPA,9
B00NG7K2RA,9
B00O66G2UQ,9
B00UV3VCLC,9
B00UVTEJ7K,9
B00WM5WFEK,9
B012VQNGD8,9
B015XDQD4K,9
0321700945,8
B00003IRBV,8
B00005NCJ3,8
B000066ST3,8
B0002G71T0,8
B0006460RM,8
B000BAV2FG,8
B000H2049I,8
B000K2P9HM,8
B000V9YXJ4,8
B000W3QKMW,8
B000XB21JY,8
B001327K8O,8
B0013OBXPI,8
B0014X4MWO,8
B0017I3DOY,8
B001DSGXFY,8
B001E7788K,8
B001ECGT8A,8
B002IKIHEG,8
B003Y6DEOQ,8
B0043T8K8I,8
B004M3EL4W,8
B005FIWT7E,8
B0064PFB9U,8
B00843U55U,8
B00907I8GC,8
B0094NXBZ0,8
B009SPK1DY,8
B00A6TPHZS,8
B00E6LIEFM,8
B00GRFIIHO,8
B00MUY6KY4,8
B00NG7JXH0,8
B00O66G5PS,8
B00PG8FSYE,8
B00SKYNTA6,8
B00TRAR53E,8
B01019BM7O,8
B013CTP6UY,8
B013LIFYRQ,8
B013X956R6,8
B015724B8M,8
B015C9KOHM,8
B015IHWAZW,8
B01617VVYY,8
B01637RPPQ,8
B01637RLIW,8
B01637RISK,8
B01E6C5D1S,8
1426296355,7
B00003IRBU,7
B00005MOTF,7
B00006F7S2,7
B0000BZ54V,7
B0000C8XYO,7
B00022PTRU,7
B0002UCJV6,7
B00062VOW0,7
B0009WA0P4,7
B000AOBSTS,7
B000B6N2O4,7
B000HCTYSA,7
B000HCVR3A,7
B000HE4OJM,7
B000IAOIXW,7
B000U818N0,7
B000W3QKOA,7
B000XJLSKY,7
B0015T5Q86,7
B001CJQGM4,7
B002CIP12U,7
B003DS6EQK,7
B003YJ8WFE,7
B0043T4IQ6,7
B0055A7RS8,7
B005CELKLM,7
B005CELL1G,7
B005FDK7J6,7
B00604ICJG,7
B008SCNCTI,7
B0093H8W4W,7
B0095C25Y8,7
B0095CAUN6,7
B00E3RH3A6,7
B00KQV8SWA,7
B00LC9USLO,7
B00N9MUV96,7
B00NKY4ZCC,7
B00NMPZ90Q,7
B00OSE74RG,7
B00PG8FFFQ,7
B010P91O4G,7
B01637RGG4,7
B01H39M7ME,7
B00005AC56,6
B00005OA45,6
B000069IL2,6
B00006FI0N,6
B00006FI0Z,6
B00006ULHT,6
B0001WN16M,6
B00022PTT8,6
B000AP2X1E,6
B000B5I0O2,6
B000GUDDXA,6
B000HCTY1W,6
B000HCTYRG,6
B000HCXKKS,6
B000Q1N7FS,6
B000Q6ZK3K,6
B000WY20ZM,6
B000XYUSMI,6
B000Z3DXT2,6
B0012VT0PM,6
B0013FBFG4,6
B0013YHNEI,6
B001O5CUIK,6
B002Q72JB8,6
B002VPE3FK,6
B0039L6FK6,6
B0043EV5DU,6
B00440D8PG,6
B005FIWUMS,6
B007A7JSMM,6
B0092UELR2,6
B0095CATEG,6
B009APQ6S6,6
B009CCVMOU,6
B00AA8GV4G,6
B00E6OPDU8,6
B00EFRMECQ,6
B00FB5R6L0,6
B00FYH8V00,6
B00FYH912C,6
B00G0DWF0E,6
B00IT6WQDQ,6
B00LHTRE1G,6
B00MA5TPN6,6
B00MHZ6VHM,6
B00MU0LDWW,6
B00MYXTCLO,6
B00P6U8C22,6
B00PG8FWS6,6
B00PG8G2X0,6
B00SOJ3GMS,6
B00SWCP8CI,6
B00U3LH2P2,6
B00W8DIFCM,6
B011XO5JZM,6
B0143HYNI0,6
B0153V571W,6
B0153V64V4,6
B00004W63J,6
B005IHT91Q,6
1615354336,5
B00004TYCR,5
B00004W62O,5
B00005AFI2,5
B00005AFI1,5
B00005AFI4,5
B00005LBVS,5
B00005N6K4,5
B00005NZ5Z,5
B00006J3FM,5
B0000BX73E,5
B0000C8XYI,5
B0000C8Y0W,5
B0001F0XHE,5
B00025O87E,5
B0002D12D4,5
B00099YLPM,5
B000AOGDM0,5
B000BAT2TE,5
B000BAWLS8,5
B000BX5JQG,5
B000CE9IAM,5
B000ES4PYU,5
B000FA36WY,5
B000GHV6N2,5
B000HCVR3K,5
B000LP6JKY,5
B000NKPFD4,5
B000Q1OTTG,5
B000WEG0H6,5
B00113O0PQ,5
B001329LRW,5
B0016P9KWC,5
B001AMLRU4,5
B001B5J7T8,5
B001CQDOR2,5
B001D1Q7WK,5
B001E0PZSM,5
B001E5Q8CO,5
B001ENOVP2,5
B001F0RYX0,5
B001GL6QDM,5
B001GLAVVU,5
B001OLZOW8,5
B002LTJIAG,5
B002RS8FBE,5
B002SR0QDO,5
B0039L6G00,5
B003YJ5DSS,5
B0045OVQP0,5
B004E564PW,5
B004I49NJ8,5
B005EJ2ICU,5
B005IIUFYU,5
B005O24CWG,5
B0079KJB54,5
B0095C09G4,5
B009APQH76,5
B009HBCH6S,5
B00B1TGQCA,5
B00BBJPPXG,5
B00E6LI5NI,5
B00EFRME1C,5
B00ENFYLRQ,5
B00ENFYLOO,5
B00EOAS4UA,5
B00F3ZN0CC,5
B00FFINRG6,5
B00FYH8V28,5
B00G0DY58O,5
B00H9F7JEY,5
B00LX4BZAQ,5
B00NA6LO8I,5
B00NG7JM62,5
B00P6U8B96,5
B00Q4LJKLY,5
B00VWCKJVA,5
B00WT85S58,5
B015MI2AYI,5
B01637ROB6,5
B01D966WAS,5
B01DEG0SGC,5
B00003JAU9,4
B000VQ7HO0,4
B000VQ8AM8,4
B000VVC01A,4
B000W3QKQS,4
B000WF100C,4
B000WS1590,4
B00111A1BU,4
B0012VI1ES,4
B0012VKK8I,4
B0013MCZRK,4
B0014GBX64,4
B0014ZQMXO,4
B0016PV4NA,4
B0016ZOUUO,4
B002U0L1BU,4
B0050TVAWS,4
B005GISNLY,4
B000I4RMFE,3
B0010YBZ1I,3
B0013IRKCY,3
B0013OBXLM,3
B0013O98PK,3
B00EXPSW2Q,3
B000VWW8QQ,2
B000W5LT8A,2
B000WMQYLA,2
B000WY1Q5M,2
B000XS9YJW,2
B000Z3GSXK,2
B000ZH8YM4,2
B000ZQAS0Q,2
B0011DM0IA,2
B0012RAVRC,2
B0013O77D0,2
B0013WO6QS,2
B0013YFI68,2
B0015DGGHM,2
B0015GKRKG,2
B001676QOU,2
B0017I1IQY,2
B0017UBJBG,2
B0017UDNQU,2
B00S8TYVCI,2
B0012KU9QW,2
B00149YSU4,2
B00170IFYU,2
B000VSDNMI,1
B000VYAL2C,1
B000WM1Z46,1
B000XIH9R6,1
B00113N12E,1
B0011DM0IK,1
B0011SFXCK,1
B0012KW3KM,1
B00132DENO,1
B00149YSUY,1
B0014A2LJ8,1
B0014A0UDC,1
B0015CA9VW,1
B0016PT3BK,1
B0016XAKZK,1
B0017U9Q2U,1
B0017XHKYI,1
B0017XHD40,1
